Date,Original Title,Outlet,Format,Link,Highlight,Author,Excerpt
7/31/09,Hear: The Pros And Cons Of Financial Innovation,Planet Money,Radio,https://www.npr.org/sections/money/2009/07/hear_the_pros_and_cons_of_fina.html/,,NA,But financial innovation has also led to prosperity. Atlantic writer Mike Konczal and Columbia Business School economist Charles Calomiris argue the case for (and against) Wall Street creativity.
8/17/09,Is Financial Innovation A Friend Or Foe?,Planet Money,Radio,https://www.npr.org/sections/money/2009/08/podcast_where_financial_innova.html/,,NA,Today Tyler Cowen of Marginal Revolution and Felix Salmon of Reuters join Mike to answer the question: has financial innovation in the last 25 years been positive or negative?
3/12/10,Attack Of The Special Interests!,Planet Money,Radio,https://www.npr.org/sections/money/2010/03/podcast_4.html/,,NA,"They also talk about derivatives and resolution authority with Mike Konczal, the finance guy behind the blog Rortybomb."
3/26/10,The Current State of Financial Reform,Roosevelt Institute,White Paper,https://5000ff5f-c81e-4025-9f29-a8526ec49666.usrfiles.com/ugd/5000ff_68a7df7400314effb24e0d0319693813.pdf,,NA,"The Senate bill is lacking in many of the essential areas for reform. Here are specific, targeted ways of strengthening the Senate bill."
4/2/10,Geithner's Letter Shows Opposition to Fixed Capital Requirements In Reform Bill,ProPublica,Quote,https://www.propublica.org/article/geithners-letter-shows-opposition-to-fixed-capital-requirements-in-financia,,NA,NA
4/4/10,Making Financial Reform Fool-Resistant,New York Times,Quote,https://www.nytimes.com/2010/04/05/opinion/05krugman.html,,NA,NA
4/22/10,Six Critical Elements of Financial Reform,Roosevelt Institute,White Paper,https://5000ff5f-c81e-4025-9f29-a8526ec49666.usrfiles.com/ugd/5000ff_57e540100301484a9b411bc90c925c8f.pdf,,NA,"Here are six essential goals for financial reform, plus a look at where each stands in the House and the Senate."
4/23/10,"Ex-Regulator Says Lincoln's Derivatives Bill Not Perfect, but Is Superior to Others",ProPublica,Quote,https://www.propublica.org/article/ex-regulator-lincolns-derivatives-bill-not-perfect-but-superior-to-others-,,NA,NA
6/9/10,Payment Card Interchange Fees: Picking Up the Tab,Mercatus Center,Panel,https://www.youtube.com/watch?v=Vhsw-3az9Ug,,NA,"A ""Meet the Press"" style panel covering a number of different perspectives and approaches to the issue of interchange fees."
7/1/10,Scott Brown Taxing Main Street,GRITtv,TV,https://www.youtube.com/watch?v=4UPqkYGjuPc,,NA,Mike Konczal of the Roosevelt Institute discusses Scott Brown's move to shift taxes from Wall Street to Main Street in financial reform legislation
7/23/10,Will the Financial Reform Bill Prevent Future Meltdowns?,The Nation - Breakdown,Podcast,https://www.thenation.com/article/archive/breakdown-will-financial-reform-bill-prevent-future-meltdowns/,,NA,"Obama signed the Frank-Dodd bill into law this week. What does the bill do to reform Wall Street, and will it prevent bailouts? Finance blogger Mike Konczal joins Chris Hayes to tackle these questions on this week's edition of The Breakdown."
8/23/10,The Boom Not The Slump: The Right Time For Austerity,Roosevelt Institute,White Paper,https://5000ff5f-c81e-4025-9f29-a8526ec49666.usrfiles.com/ugd/5000ff_83a6305e708944028117fa5cd57134c0.pdf,,NA,"A recent paper by Alberto F. Alesina and Silvia Ardagna (2009), â€śLarge Changes in Fiscal Policy: Taxes Versus Spendingâ€ť (henceforth A & A), looks at a cross section of deficit reduction policies among different countries. [...] However, upon a further examination of the data such a conclusion is unmerited."
12/28/10,Dodd-Frank Act Becoming A Reality For Banks,All Things Considered,Radio,https://www.npr.org/2010/12/28/132416194/Dodd-Frank-Act-Becoming-A-Reality-For-Banks,,NA,"One of the things Congress did in 2010 was pass a sweeping overhaul of financial market regulation. After a tough battle, the Dodd-Frank bill was passed and signed into law."
1/3/11,Cleaning Up The Mortgage Mess,New America,Panel,https://www.youtube.com/watch?v=O2B59IL6yiE,,NA,"On December 21, 2010, Tim Fernholz, the Asset Building Program's Research Fellow, gathered a panel of experts to discuss the foreclosure crisis currently affecting millions of homeowners."
1/24/11,Third Way's Unsurprising Foreclosure Crisis Conflict,Countdown,TV,https://www.youtube.com/watch?v=EeA5DgATWi4,,NA,Commentary with guest-host Chris Hayes on foreclosure relief.
3/21/11,Backgrounder: Behind the Battle Over Hidden Debit Card Fees,ProPublica,Quote,https://www.propublica.org/article/backgrounder-behind-the-battle-over-hidden-debit-card-fees,,NA,NA
4/13/11,Pipeline,American Banker,Quote,https://www.americanbanker.com/news/pipeline-ab1035988,,NA,NA
4/22/11,Are Financial Institutions Holding Our Economy Hostage?,The Nation - Breakdown,Podcast,https://www.thenation.com/article/archive/breakdown-are-financial-institutions-holding-our-economy-hostage/,,NA,"On this weekâ€™s edition of The Breakdown, finance blogger Mike Konczal joins DC Editor Chris Hayes to discuss whatâ€™s behind this â€śfinancializationâ€ť of the economy, how it happened and whether thereâ€™s anything that can be done to change it."
5/4/11,"Greater Power Over Wall Street, Left Unexamined",New York Times - Dealbook,Quote,https://archive.nytimes.com/dealbook.nytimes.com/2011/05/04/more-power-over-wall-street-but-little-chance-to-discuss-it/,,NA,NA
6/17/11,The Empire Strikes Back: The Fate of Wall Street Reform,Netroots Nation,Panel,https://www.youtube.com/watch?v=Z6hOUWGTEMA,,NA,Mike talks about Dodd/Frank and how it's being undermined.
6/30/11,To the Limit,New York Times,Quote,https://www.nytimes.com/2011/07/01/opinion/01krugman.html,,NA,NA
9/2/11,Can Americaâ€™s Jobless Fill American Jobs?,PBS Newshour,TV,https://www.pbs.org/newshour/show/can-america-s-jobless-fill-american-jobs,,NA,"PAUL SOLMAN: Mike Konczal of the Roosevelt Institute insists unemployment is cyclical, not structural, no growth, no jobs."
9/30/11,Three Concrete Demands to Hold Wall Street Accountable,Good Magazine,Article,https://www.good.is/articles/three-concrete-demands-to-hold-wall-street-accountable,,Mike Konczal,"Specific demands that speak to the long-term end goal of a better, more just economy."
2/5/12,The Privatization Trap,Salon,Article,https://www.salon.com/2012/02/05/the_privatization_trap/,,Mike Konczal,"From schools to prisons, outsourcing government's works typically ends with cronyism, waste and unaccountability."
3/1/12,"Kinder, Gentler Cuts",Dissent,Book Review,https://www.dissentmagazine.org/article/kinder-gentler-cuts,,Mike Konczal,The Age of Austerity: How Scarcity Will Remake American Politics (Thomas Byrne Edsall)
3/2/12,Democratizing Markets,Boston Review,Article,http://bostonreview.net/konczal-democratizing-markets,,Mike Konczal,The real battle is not about eliminating rents but instead determining who will benefit from them.
3/21/12,Why We Need Progressive Federalism,The Nation,Article,https://www.thenation.com/article/archive/why-we-need-progressive-federalism/,,Mike Konczal,NA
4/19/12,"Against Law, For Order",Jacobin,Article,https://jacobinmag.com/2012/04/against-law-for-order,,Mike Konczal,"To see how mass incarceration has reworked our expectations about governance, we need to understand the relationship of policing to the two major political ideologies of the past thirty years and the governance project that came out of it."
6/15/12,An Elite Like Any Other? Meritocracy in America,Dissent,Book Review,https://www.dissentmagazine.org/online_articles/an-elite-like-any-other-meritocracy-in-america,,Mike Konczal,Twilight of the Elites: America After Meritocracy (Christopher Hayes)
6/28/12,How Mortgage Debt is Holding Back the Recovery,Roosevelt Institute,White Paper,https://ourfinancialsecurity.org/wp-content/uploads/2012/06/Mike-Konczal-How-Mortgage-Debt-is-Holding-Back-the-Recovery-PAPER.pdf,,NA,But a wave of research has recently found that unemployment and slow growth are connected to the aftermath of the housing bubble collapse as well as the deleveraging resulting from dealing with bad debts.
7/6/12,"June Jobs Report: Economic ""Paralysis""",The Alyona Show,TV,https://www.youtube.com/watch?v=9-aacujTh00,,NA,"Well, another first Friday of the month, and another jobs report. And yet more proof that the economy is stuck."
9/1/12,From Master Plan to No Plan: The Slow Death of Public Higher Education,Dissent,Article,https://www.dissentmagazine.org/article/from-master-plan-to-no-plan-the-slow-death-of-public-higher-education,,Mike Konczal,"If we want to tell a different story than the decline of public educationâ€”and especially if we want to see it rise againâ€”it behooves us to move past Reagan and the backlash, and to think more clearly about what they destroyed, and what weâ€™ve lost."
9/11/12,The Complete Guide To America's Jobs Crisis And The Failure Of Monetary Policy Using Animated Gifs,Business Insider,Article,https://www.businessinsider.com/bernanke-vs-woodford-in-gif-form-2012-9,,Mike Konczal,The following guest post is a complete description of America's jobs crisis and the failure of monetary policy policy to address it. Author Mike Konczal helpfully uses animated .gifs to simply break down the most critical theoretical debate of our time.
9/16/12,Hating on Ben Bernanke,New York Times,Quote,https://www.nytimes.com/2012/09/17/opinion/krugman-hating-on-ben-bernanke.html,,NA,NA
11/26/12,"After victory, liberals want income redistribution",Washington Examiner,Quote,https://www.washingtonexaminer.com/york-after-victory-liberals-want-income-redistribution,,NA,NA
12/1/12,Sweet Forgiveness,Boston Review,Article,http://bostonreview.net/forum/sweet-forgiveness,,Mike Konczal,Debt relief is fair. It would also be good for the economy. Why isnâ€™t it happening? Politics.
12/3/12,No Discount: Comparing the Public Option to the Coupon Welfare State,New America,White Paper,https://www.newamerica.org/economic-growth/policy-papers/no-discount-comparing-the-public-option-to-the-coupon-welfare-state/,,NA,"The fundamental ideological conflict surrounding the Welfare State in the U.S. is no longer over the scope of government, but instead how the government carries out its responsibilities and delivers services."
