date,urate,year,month
1/1/48,3.4,1948,1
2/1/48,3.8,1948,2
3/1/48,4,1948,3
4/1/48,3.9,1948,4
5/1/48,3.5,1948,5
6/1/48,3.6,1948,6
7/1/48,3.6,1948,7
8/1/48,3.9,1948,8
9/1/48,3.8,1948,9
10/1/48,3.7,1948,10
11/1/48,3.8,1948,11
12/1/48,4,1948,12
1/1/49,4.3,1949,1
2/1/49,4.7,1949,2
3/1/49,5,1949,3
4/1/49,5.3,1949,4
5/1/49,6.1,1949,5
6/1/49,6.2,1949,6
7/1/49,6.7,1949,7
8/1/49,6.8,1949,8
9/1/49,6.6,1949,9
10/1/49,7.9,1949,10
11/1/49,6.4,1949,11
12/1/49,6.6,1949,12
1/1/50,6.5,1950,1
2/1/50,6.4,1950,2
3/1/50,6.3,1950,3
4/1/50,5.8,1950,4
5/1/50,5.5,1950,5
6/1/50,5.4,1950,6
7/1/50,5,1950,7
8/1/50,4.5,1950,8
9/1/50,4.4,1950,9
10/1/50,4.2,1950,10
11/1/50,4.2,1950,11
12/1/50,4.3,1950,12
1/1/51,3.7,1951,1
2/1/51,3.4,1951,2
3/1/51,3.4,1951,3
4/1/51,3.1,1951,4
5/1/51,3,1951,5
6/1/51,3.2,1951,6
7/1/51,3.1,1951,7
8/1/51,3.1,1951,8
9/1/51,3.3,1951,9
10/1/51,3.5,1951,10
11/1/51,3.5,1951,11
12/1/51,3.1,1951,12
1/1/52,3.2,1952,1
2/1/52,3.1,1952,2
3/1/52,2.9,1952,3
4/1/52,2.9,1952,4
5/1/52,3,1952,5
6/1/52,3,1952,6
7/1/52,3.2,1952,7
8/1/52,3.4,1952,8
9/1/52,3.1,1952,9
10/1/52,3,1952,10
11/1/52,2.8,1952,11
12/1/52,2.7,1952,12
1/1/53,2.9,1953,1
2/1/53,2.6,1953,2
3/1/53,2.6,1953,3
4/1/53,2.7,1953,4
5/1/53,2.5,1953,5
6/1/53,2.5,1953,6
7/1/53,2.6,1953,7
8/1/53,2.7,1953,8
9/1/53,2.9,1953,9
10/1/53,3.1,1953,10
11/1/53,3.5,1953,11
12/1/53,4.5,1953,12
1/1/54,4.9,1954,1
2/1/54,5.2,1954,2
3/1/54,5.7,1954,3
4/1/54,5.9,1954,4
5/1/54,5.9,1954,5
6/1/54,5.6,1954,6
7/1/54,5.8,1954,7
8/1/54,6,1954,8
9/1/54,6.1,1954,9
10/1/54,5.7,1954,10
11/1/54,5.3,1954,11
12/1/54,5,1954,12
1/1/55,4.9,1955,1
2/1/55,4.7,1955,2
3/1/55,4.6,1955,3
4/1/55,4.7,1955,4
5/1/55,4.3,1955,5
6/1/55,4.2,1955,6
7/1/55,4,1955,7
8/1/55,4.2,1955,8
9/1/55,4.1,1955,9
10/1/55,4.3,1955,10
11/1/55,4.2,1955,11
12/1/55,4.2,1955,12
1/1/56,4,1956,1
2/1/56,3.9,1956,2
3/1/56,4.2,1956,3
4/1/56,4,1956,4
5/1/56,4.3,1956,5
6/1/56,4.3,1956,6
7/1/56,4.4,1956,7
8/1/56,4.1,1956,8
